#cms_volume,public_volume,date
459070800777,511383426271,2000-12-01 00:00:00
1505549960815,25776846072112,2001-12-01 00:00:00
4400757358610,48820281771587,2002-12-01 00:00:00
17899817273429,91153037851500,2003-12-01 00:00:00
69700246571811,248636661902789,2004-12-01 00:00:00
175261049237910,352682625225928,2005-12-01 00:00:00
277390423766664,518534533561014,2006-12-01 00:00:00
297687555002626,831584538498949,2007-12-01 00:00:00
475259129972702,1219599381522957,2008-12-01 00:00:00
629327794665741,1677634231688321,2009-12-01 00:00:00
1015799002304751,2078730080257768,2010-12-01 00:00:00
6174610354249556,2642914670547214,2011-12-01 00:00:00
14794474130944797,3503746353363717,2012-12-01 00:00:00
21864740625291083,5359724480133986,2013-12-01 00:00:00
23044458460822737,8852487426107400,2014-12-01 00:00:00
28426548050090717,16991817767474638,2015-12-01 00:00:00
35626325432461854,30243403720040241,2016-12-01 00:00:00
52151257658003115,46934801424576171,2017-12-01 00:00:00
62446918811072588,73377304861119522,2018-12-01 00:00:00
74017378753119114,95473913150155879,2019-12-01 00:00:00
93876386458520128,124741304458125966,2020-12-01 00:00:00
106387008676946166,162593443428264404,2021-12-01 00:00:00
92262884852755393,188254008869259671,2022-12-01 00:00:00
96280669726240956,220658941598522581,2023-12-01 00:00:00

