#data, max(cms), max(public)
2001-12-01 00:00:00,3809058612677,0
2003-12-01 00:00:00,659566507108,1292025189015
2004-12-01 00:00:00,3049044810243,3178938324392
2005-12-01 00:00:00,6948639810561,3019976593512
2006-12-01 00:00:00,17051108017350,6414571856658
2007-12-01 00:00:00,40394147900278,6018265857753
2008-12-01 00:00:00,55362725680181,10187173602252
2009-12-01 00:00:00,98500284506873,24639760449803
2010-12-01 00:00:00,135523996654374,25361636786132
2011-12-01 00:00:00,164950677956751,32163100948248
2012-12-01 00:00:00,187393847566372,21500155642448
2013-12-01 00:00:00,173826251648428,20417997537299
2014-12-01 00:00:00,100737023728206,59256068998432
2015-12-01 00:00:00,158618702112301,112832793068862
2016-12-01 00:00:00,176802061021192,148908265556942
2017-12-01 00:00:00,209333791447360,212074297684821
2018-12-01 00:00:00,401413581575701,373066790599796
2019-12-01 00:00:00,402222457637072,465143011615553
2020-12-01 00:00:00,464457261671599,439956850481338
2021-12-01 00:00:00,572883849861840,403239934411622
2022-12-01 00:00:00,524563424150409,775488222054435
2023-12-01 00:00:00,312257803770390,620370296307978

