volume,day
49.7603817392819111,2003-01-01 00:00:00
484.9114054697793105,2004-01-01 00:00:00
847.5674128144428350,2005-01-01 00:00:00
1495.5400393250138477,2006-01-01 00:00:00
5201.1348570389736465,2007-01-01 00:00:00
5647.0786019819706729,2008-01-01 00:00:00
11413.003621192725,2009-01-01 00:00:00
13939.360550227087,2010-01-01 00:00:00
20194.003481553042,2011-01-01 00:00:00
33384.778853164119,2012-01-01 00:00:00
24852.737987277679,2013-01-01 00:00:00
13968.904231878048,2014-01-01 00:00:00
24493.763253917979,2015-01-01 00:00:00
46842.983692365115,2016-01-01 00:00:00
65502.258472053513,2017-01-01 00:00:00
87151.339738264778,2018-01-01 00:00:00
116670.637811012129,2019-01-01 00:00:00
140606.981509097266,2020-01-01 00:00:00
139465.275945024209,2021-01-01 00:00:00
131881.960482921553,2022-01-01 00:00:00
120982.893282695830,2023-01-01 00:00:00
