volume,day
172.5708203075228115,2004-01-01 00:00:00
490.2576857137064551,2005-01-01 00:00:00
686.4671897871976377,2006-01-01 00:00:00
4153.7304399061740400,2007-01-01 00:00:00
4392.7112309821886924,2008-01-01 00:00:00
9026.9006478534393027,2009-01-01 00:00:00
11254.874408707205,2010-01-01 00:00:00
17128.993582839335,2011-01-01 00:00:00
31170.183703094122,2012-01-01 00:00:00
21712.368585898444,2013-01-01 00:00:00
7232.6811057604927539,2014-01-01 00:00:00
10387.901094899828,2015-01-01 00:00:00
27833.411915876777,2016-01-01 00:00:00
33769.733957406538,2017-01-01 00:00:00
39365.996985706452,2018-01-01 00:00:00
56368.446883191436,2019-01-01 00:00:00
68654.354765415345,2020-01-01 00:00:00
65383.947137233593,2021-01-01 00:00:00
25450.656684440555,2022-01-01 00:00:00
21273.010683229513,2023-01-01 00:00:00
