#volume (tib),day
312.3405851622564980,2004-12-01 00:00:00
357.3097271007363799,2005-12-01 00:00:00
809.0728495378161816,2006-12-01 00:00:00
1047.4044171327996064,2007-12-01 00:00:00
1254.3673709997819707,2008-12-01 00:00:00
2386.1029733392860703,2009-12-01 00:00:00
2684.4861415198820684,2010-12-01 00:00:00
3065.0098987137062451,2011-12-01 00:00:00
2214.5951500699966240,2012-12-01 00:00:00
3140.3694013792355537,2013-12-01 00:00:00
6736.2231261175547695,2014-12-01 00:00:00
14105.862159018151,2015-12-01 00:00:00
19009.571776488337,2016-12-01 00:00:00
31732.524514646975,2017-12-01 00:00:00
47785.342752558326,2018-12-01 00:00:00
60302.190927820691,2019-12-01 00:00:00
71952.626743681917,2020-12-01 00:00:00
74081.328807790617,2021-12-01 00:00:00
106431.303798481006,2022-12-01 00:00:00
99709.882599466318,2023-12-01 00:00:00
