day,minerva,gm2,uboone,mu2e,icarus,nova,lqcd,dune,total
2022-08-16 00:00:00,    .1,  26.6,  11.8,    .5,   8.1,   1.1,    .6,    .2,  50.7
2022-08-17 00:00:00,    .2,  38.8,   9.9,    .2,   4.4,    .9,   4.4,    .4,  59.2
2022-08-18 00:00:00,    .7,  78.0,   2.8,    .0,    .1,   1.1,    .0,    .9,  83.5
2022-08-19 00:00:00,   1.7,  46.3,  15.2,   3.1,   4.8,   3.0,    .0,   2.4,  76.4
2022-08-20 00:00:00,   1.3,  42.4,  14.9,   3.5,   3.7,   2.7,    .0,   1.6,  70.1
2022-08-21 00:00:00,    .1,  48.5,  21.2,   1.1,    .2,   4.4,    .0,   1.0,  76.4
2022-08-22 00:00:00,   8.4,  42.3,   8.4,    .0,    .0,  11.3,    .0,   2.5,  73.7
2022-08-23 00:00:00,    .0,  65.7,  10.1,    .4,    .0,   9.4,    .0,    .8,  86.3
2022-08-24 00:00:00,    .0,  71.0,   8.6,   1.5,   5.2,   5.0,    .0,    .7,  92.0
2022-08-25 00:00:00,   1.0,  26.4,   4.2,    .0,   2.1,   2.8,    .0,   2.3,  41.8
2022-08-26 00:00:00,    .3,  42.9,   5.2,    .2,    .6,   2.4,    .0,  11.7,  64.6
2022-08-27 00:00:00,    .4,  55.0,   5.7,    .0,   2.1,   2.0,    .0,    .1,  66.1
2022-08-28 00:00:00,   1.8,  31.4,   7.6,    .4,   3.2,   2.0,   3.3,    .1,  50.1
2022-08-29 00:00:00,   4.6,  50.4,  13.9,    .1,    .2,   1.8,    .0,    .2,  72.6
2022-08-30 00:00:00,    .6,  68.9,  14.7,    .1,    .1,  13.3,    .0,    .1,  97.9
2022-08-31 00:00:00,   1.1,  69.6,   9.2,    .3,    .0,   7.4,    .0,   3.5,  91.1
2022-09-01 00:00:00,   2.7,  70.9,  10.0,   1.9,    .0,   5.8,    .0,   3.5,  95.8
2022-09-02 00:00:00,   3.9,  45.0,  10.4,   1.1,   1.8,  14.7,    .0,   2.3,  79.2
2022-09-03 00:00:00,    .1,  76.3,   2.5,   1.0,    .0,   7.3,    .0,   8.6,  95.8
2022-09-04 00:00:00,    .3,  67.0,   2.3,    .0,    .0,   3.3,    .0,  17.6,  91.4
2022-09-05 00:00:00,   1.3,   5.0,  27.8,    .4,    .0,  10.1,    .0,   9.1,  53.8
2022-09-06 00:00:00,    .7,   7.6,  17.0,    .2,    .3,  26.9,    .0,   3.8,  57.0
2022-09-07 00:00:00,    .0,  34.8,   8.5,    .0,    .0,  26.5,   4.4,    .3,  75.2
2022-09-08 00:00:00,   1.4,  12.2,  27.3,    .0,   2.7,   7.0,   4.4,    .0,  59.9
2022-09-09 00:00:00,   2.2,  76.7,   6.4,    .0,    .0,   1.9,    .0,    .3,  90.7
2022-09-10 00:00:00,    .1,  81.5,    .3,    .0,    .0,    .3,    .1,    .0,  82.3
2022-09-11 00:00:00,   1.3,  54.9,   8.4,    .0,    .7,   9.4,    .0,    .7,  76.5
2022-09-12 00:00:00,   2.3,  34.4,   5.0,    .4,    .6,   3.3,    .0,  12.1,  58.6
2022-09-13 00:00:00,   1.2,  42.8,  10.2,    .1,    .1,    .3,    .0,   4.0,  60.3
2022-09-14 00:00:00,    .1,  56.7,   4.1,    .0,    .0,    .0,    .0,    .9,  64.0
2022-09-15 00:00:00,    .1,  42.7,  11.3,    .1,   6.9,    .2,   4.4,    .4,  66.6
2022-09-16 00:00:00,    .1,  52.9,   5.0,    .0,    .8,    .1,    .0,    .3,  59.1
2022-09-17 00:00:00,    .3,  47.3,   8.0,    .1,    .8,    .7,    .0,   1.2,  59.6
2022-09-18 00:00:00,    .4,  28.7,  13.2,    .0,   5.1,   2.1,    .0,    .1,  50.7
2022-09-19 00:00:00,    .9,  22.2,  14.3,    .2,   2.3,   1.2,    .0,    .3,  42.5
2022-09-20 00:00:00,   1.1,  20.7,  16.4,    .0,   2.4,   1.9,    .0,    .1,  43.0
2022-09-21 00:00:00,    .8,  22.6,  11.5,    .0,   7.6,   4.6,    .6,    .1,  47.7
2022-09-22 00:00:00,    .3,  23.1,   4.7,    .1,   1.2,   3.3,    .1,    .0,  33.1
2022-09-23 00:00:00,   1.5,  28.0,  12.5,    .5,  11.9,   3.4,    .1,    .3,  58.6
