day,minerva,gm2,uboone,mu2e,icarus,nova,lqcd,dune,total
2022-08-16 00:00:00,    .0,   1.9,  31.1,    .0,   3.6,  24.8,   7.4,  31.7, 106.7
2022-08-17 00:00:00,    .0,   7.6,  32.5,    .0,    .0,  63.2,  11.2,  49.6, 170.3
2022-08-18 00:00:00,    .0,  14.9,  37.9,    .1,   2.7,  66.4,   7.4,   1.6, 135.5
2022-08-19 00:00:00,    .0,  24.2,  44.1,    .2,  11.3,  27.1,    .0,   3.7, 128.3
2022-08-20 00:00:00,    .0,  20.4,  19.3,    .1,   3.8,  20.1,    .3,  24.0,  95.6
2022-08-21 00:00:00,    .0,  21.8,    .1,    .2,  51.6,   6.1,    .3,  40.5, 126.8
2022-08-22 00:00:00,   6.9,  16.5,    .6,    .2,  39.6,  51.2,    .0,    .8, 121.3
2022-08-23 00:00:00,   1.3,  13.2,   3.9,    .2,    .4,  61.9,    .0,    .8,  84.3
2022-08-24 00:00:00,    .0,  24.0,  17.0,    .2,  16.3,  19.8,    .0,    .9,  84.6
2022-08-25 00:00:00,    .0,  27.6,   5.8,    .1,  21.2,  19.8,    .0,   1.8,  80.9
2022-08-26 00:00:00,    .0,  26.4,  18.3,    .1,    .6,  31.4,   9.6,    .6,  89.0
2022-08-27 00:00:00,    .0,   9.7,   2.2,    .1,  45.3,  63.4,    .0,  39.3, 167.6
2022-08-28 00:00:00,    .0,  17.0,    .6,    .2,  40.3,  86.0,  11.2,  51.0, 215.3
2022-08-29 00:00:00,    .0,  30.1,    .1,    .2,   5.0,  21.5,   3.7,  19.7,  86.7
2022-08-30 00:00:00,    .0,  27.9,    .3,    .1,    .8,  55.3,    .0,   1.8,  92.2
2022-08-31 00:00:00,    .0,  52.0,    .2,    .1,    .0,  39.2,   9.3,   2.0, 108.3
2022-09-01 00:00:00,    .0,  53.9,    .2,    .1,   2.3,  12.0,  11.1,   1.0,  85.8
2022-09-02 00:00:00,    .0,  53.1,    .1,    .0,  52.9,  14.6,    .0,    .3, 125.4
2022-09-03 00:00:00,    .0,  52.8,    .1,    .0,  49.5,    .9,   1.9,    .0, 107.7
2022-09-04 00:00:00,    .0,  51.0,    .0,    .0,   3.2,   6.7,    .0,    .3,  69.2
2022-09-05 00:00:00,    .0,  38.8,    .0,    .0,  54.2,  38.5,  16.9,    .0, 156.6
2022-09-06 00:00:00,    .0,  25.3,    .0,    .0,    .0,  20.6,  22.2,   1.5,  74.4
2022-09-07 00:00:00,    .0,  26.1,   8.5,    .0,   1.3,  12.7,   8.0,   1.3,  62.5
2022-09-08 00:00:00,    .0,  25.4,  22.0,    .0,  35.9,  14.4,  11.7,    .4, 114.2
2022-09-09 00:00:00,    .0,  20.8,  47.6,    .0,    .8,   3.4,  17.7,    .7,  93.5
2022-09-10 00:00:00,    .0,  25.0,  50.9,    .0,  51.6,    .2,    .0,    .2, 130.8
2022-09-11 00:00:00,    .0,  35.2,  52.7,    .0,  17.4,  16.3,    .0,    .9, 131.5
2022-09-12 00:00:00,    .0,  40.8,  47.1,    .0,  44.4,  21.6,    .0,    .4, 159.4
2022-09-13 00:00:00,    .0,  26.6,  29.8,    .0,  38.7,   9.2,  11.1,    .1, 119.4
