day,minerva,gm2,uboone,mu2e,icarus,nova,lqcd,dune,total
2022-08-16 00:00:00,1,769,34099,0,2675,13230,23,42977,97658
2022-08-17 00:00:00,1,6941,35285,2,53,41958,10,21836,108590
2022-08-18 00:00:00,1,14126,38901,14,2263,45482,5,431,101354
2022-08-19 00:00:00,1,19510,44616,24,2777,22198,0,1214,94753
2022-08-20 00:00:00,3,18583,21126,19,1539,20219,1017,22370,86043
2022-08-21 00:00:00,4,18045,104,29,8998,25377,1020,38464,92785
2022-08-22 00:00:00,6826,15400,1348,24,6441,51844,1,200,82433
2022-08-23 00:00:00,4784,12740,9384,25,40,42211,0,170,69820
2022-08-24 00:00:00,1,19024,19638,26,2618,12034,0,208,53646
2022-08-25 00:00:00,2,18245,5732,9,3387,19681,0,539,48100
2022-08-26 00:00:00,3,14501,15147,25,224,15590,14,121,46216
2022-08-27 00:00:00,1,3881,3569,10,6344,42016,0,39108,95203
2022-08-28 00:00:00,5,8069,1355,28,5933,58119,10,48354,122577
2022-08-29 00:00:00,1,12174,283,22,732,13760,2,28336,55618
2022-08-30 00:00:00,2,11361,561,19,211,32326,1,453,45329
2022-08-31 00:00:00,1,20916,522,23,0,20471,5,515,42561
2022-09-01 00:00:00,1,21438,369,12,1026,14347,6,249,38028
2022-09-02 00:00:00,1,20997,274,6,8026,16274,0,91,46117
2022-09-03 00:00:00,1,20826,129,5,6969,1135,1,0,29127
2022-09-04 00:00:00,2,20084,59,5,760,11591,0,87,33376
2022-09-05 00:00:00,1,15319,41,5,7468,46194,1009,13,71821
2022-09-06 00:00:00,2,10022,10,3,0,38581,13,329,49282
2022-09-07 00:00:00,1,10303,8534,1,940,16298,5,284,36636
2022-09-08 00:00:00,1,10085,12585,2,5311,16125,4,101,44700
2022-09-09 00:00:00,1,8261,27197,2,224,3570,41,153,39680
2022-09-10 00:00:00,1,9879,29246,1,7254,317,1,35,47278
2022-09-11 00:00:00,3,17422,30399,6,2716,17487,0,269,68417
2022-09-12 00:00:00,2,18616,27451,6,6325,14838,0,105,67877
2022-09-13 00:00:00,3,10787,17406,1,5388,7854,6,19,41830
2022-09-14 00:00:00,1,6642,12005,3,1288,857,17,191,21352
2022-09-15 00:00:00,1,13129,7033,2,584,17696,28,94,38797
2022-09-16 00:00:00,1,10468,3993,0,817,700,0,171,16594
2022-09-17 00:00:00,2,9648,3357,1,79,5483,0,15,18741
2022-09-18 00:00:00,1,10664,1527,2,795,19918,2,79,33039
2022-09-19 00:00:00,1,8328,1712,1,243,1818,0,134,12641
2022-09-20 00:00:00,2,7014,27005,1,1842,18858,12,1,55146
2022-09-21 00:00:00,2,19663,15989,2,1691,11396,17,161,49187
2022-09-22 00:00:00,0,12835,1012,2,62,18093,0,126,32159
2022-09-23 00:00:00,3,7467,770,0,3091,18105,38,910,30609
2022-09-24 00:00:00,1,24514,536,2,237,26745,140,823,53797
2022-09-25 00:00:00,0,26039,38,2,2,4301,39,366,31121
2022-09-26 00:00:00,3,25676,6234,2,168,15494,4,520,49036
2022-09-27 00:00:00,1,14950,3046,2,226,15753,0,471,35544
2022-09-28 00:00:00,5,17120,271,2,150,16969,11,847,35722
2022-09-29 00:00:00,0,15461,216,0,170,9412,21,10,25318
2022-09-30 00:00:00,7,11580,11174,1,129,7545,0,2119,33153
2022-10-01 00:00:00,4,4404,14612,2,246,6343,231,2422,28363
2022-10-02 00:00:00,1,9350,47,3,554,7545,247,4305,22600
2022-10-03 00:00:00,25,10247,8324,1,1,4333,49,4591,27809
2022-10-04 00:00:00,7209,5073,11263,0,394,5871,218,56,30153
2022-10-05 00:00:00,15560,10163,72,2,303,13249,300,1834,41595
2022-10-06 00:00:00,162,10078,84,0,394,10584,0,4,21628
2022-10-07 00:00:00,41,9008,973,0,201,8008,176,463,18897
2022-10-08 00:00:00,38,449,290,6,614,9815,3,1,11938
2022-10-09 00:00:00,414,12808,639,0,0,24293,189,109,38485
2022-10-10 00:00:00,45,27052,560,9,799,35326,51,11,65766
2022-10-11 00:00:00,3221,25281,459,5,10006,38541,6977,155,86478
2022-10-12 00:00:00,5863,26433,897,1,16365,50241,460,72,101219
2022-10-13 00:00:00,3293,29900,5101,4,12328,67153,33,126,119792
2022-10-14 00:00:00,162,18985,430,3,2731,67947,8,1306,92887
2022-10-15 00:00:00,49,0,3,1,1968,32597,0,36,35150
2022-10-16 00:00:00,0,0,0,0,605,4998,0,5,5707
(62 rows)
