#Date total fail
2023-04-20 182888 0
2023-04-21 636385 11
2023-04-22 17477 0
2023-04-23 14976 0
2023-04-24 27370 1
2023-04-25 40998 0
2023-04-26 56635 1402
2023-04-27 36132 0
2023-04-28 388307 3
2023-04-29 373407 928
2023-04-30 12071 5624
2023-05-01 34779 502
2023-05-02 21257 0
2023-05-03 27437 5495
2023-05-04 17860 4435
2023-05-05 12943 7
2023-05-06 9166 0
2023-05-07 8389 0
2023-05-08 21558 0
2023-05-09 16748 404
2023-05-10 43195 4474
2023-05-11 93409 24048
2023-05-12 147965 68
2023-05-13 40463 33500
2023-05-14 57607 0
2023-05-15 76506 26779
2023-05-16 132720 0
2023-05-17 32003 3594
2023-05-18 95469 14569
2023-05-19 83117 9937
2023-05-20 161171 5669
2023-05-21 232314 0
2023-05-22 53779 0
2023-05-23 76511 0
2023-05-24 65738 2
2023-05-25 31284 0
