Date total timeouts
2023-04-25 351494 0
2023-04-26 328292 0
2023-04-27 345756 0
2023-04-28 661510 0
2023-04-29 894726 0
2023-04-30 316657 0
2023-05-01 329407 0
2023-05-02 174909 0
2023-05-03 143641 0
2023-05-04 121339 0
2023-05-05 85997 0
2023-05-06 93578 0
2023-05-07 187099 0
2023-05-08 240352 23
2023-05-09 443737 0
2023-05-10 318275 0
2023-05-11 426433 0
2023-05-12 424715 0
2023-05-13 374626 70
2023-05-14 566919 0
2023-05-15 206467 0
2023-05-16 414799 0
2023-05-17 413069 0
2023-05-18 457685 0
2023-05-19 309032 0
2023-05-20 405626 0
2023-05-21 372394 0
2023-05-22 593303 206
2023-05-23 1023327 0
2023-05-24 774295 0
2023-05-25 54660 0
