date,restores,total_restores,restore_volume,total_restore_volume,stores,total_stores,store_volume,total_store_volume
2025-01-27 00:00:00-06,426928,426928,  196.4,196.4200629096885684,612888,612888,  269.6,269.6198293775996689
2025-02-03 00:00:00-06,1170890,1597818,  608.3,804.7151523519633008,1041238,1654126,  493.7,763.3097489818765068
2025-02-10 00:00:00-06,1016622,2614440,  412.1,1216.8591151997206973,1283081,2937207,  550.7,1314.0144653742754550
2025-02-17 00:00:00-06,1490307,4104747,  780.1,1996.9649310128279493,1297099,4234306,  431.1,1745.1200386430018613
2025-02-24 00:00:00-06,520546,4625293,  471.9,2468.8501855482900333,1153003,5387309,  490.3,2235.3990582126352783
2025-03-03 00:00:00-06,527276,5152569,  337.9,2806.7898186721786310,1307368,6694677,  704.7,2940.1207355564456455
2025-03-10 00:00:00-05,265541,5418110,  110.1,2916.9322115727318380,1177138,7871815,  620.9,3561.0505246106686103
2025-03-17 00:00:00-05,143983,5562093,   35.3,2952.2634090928577355,712342,8584157,  596.5,4157.5877573994030078
2025-03-24 00:00:00-05,666764,6228857,  375.9,3328.1500063959038097,1147305,9731462,  504.6,4662.2113427450858486
2025-03-31 00:00:00-05,296981,6525838,  153.3,3481.4217310317953995,845088,10576550,  218.8,4881.0153923856469140
2025-04-07 00:00:00-05,640411,7166249,  218.5,3699.8820476331629972,1104043,11680593,  418.3,5299.3293622167930117
2025-04-14 00:00:00-05,254647,7420896,  137.0,3836.9007268986588410,420741,12101334,  311.6,5610.9775172395802588
2025-04-21 00:00:00-05,1023280,8444176,  547.9,4384.7726767571975930,855420,12956754,  198.8,5809.7983306618898389
2025-04-28 00:00:00-05,643883,9088059,  197.8,4582.5900418109340608,505364,13462118,  181.3,5991.1265143248310655
2025-05-05 00:00:00-05,158462,9246521,   34.7,4617.3301243165506165,368595,13830713,  161.0,6152.1271922907726475
2025-05-12 00:00:00-05,134879,9381400,  233.1,4850.4211898693338392,200141,14030854,  161.3,6313.3910730385496133
2025-05-19 00:00:00-05,159815,9541215,   41.9,4892.3159500181464046,90605,14121459,   91.0,6404.4237239999856612
2025-05-26 00:00:00-05,340066,9881281,   77.6,4969.8767955715729935,1010340,15131799,  206.1,6610.5651807464700938
2025-06-02 00:00:00-05,154112,10035393,  134.0,5103.9111301024941097,235743,15367542,  201.6,6812.1731622098932217
2025-06-09 00:00:00-05,259131,10294524,   91.1,5195.0560103370344329,644673,16012215,  152.2,6964.3998159250268028
2025-06-16 00:00:00-05,52664,10347188,   44.5,5239.5949452054146712,1010374,17022589,  189.6,7154.0443817647092003
2025-06-23 00:00:00-05,92411,10439599,   64.3,5303.8969941479899827,1044495,18067084,  207.0,7361.0048354149357550
2025-06-30 00:00:00-05,19092,10458691,    9.3,5313.1713016434641869,260406,18327490,  168.2,7529.2383796916646905
2025-07-07 00:00:00-05,72179,10530870,   29.9,5343.0662048729864291,780887,19108377,  334.2,7863.4137507640389102
2025-07-14 00:00:00-05,25407,10556277,   18.1,5361.1978930594668891,230729,19339106,  114.9,7978.3423538132683321
2025-07-21 00:00:00-05,79213,10635490,  201.7,5562.9459866880733989,455576,19794682,  274.8,8253.1511764218894141
2025-07-28 00:00:00-05,20182,10655672,   32.7,5595.5994922790068901,73484,19868166,   22.1,8275.2275630318544981
